                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.1689,                0.63817,                 1.7865,                0.98736,                0.98813,                0.98996,                 0.8794,                 1.0969,                0.47079,                 1.7679,             0.00035208,             0.00035208,             0.00035208
                     71,                 1.1719,                0.60236,                 1.7929,                0.99413,                0.98808,                0.99036,                0.87293,                 1.1258,                0.46478,                  1.774,             0.00034108,             0.00034108,             0.00034108
                     72,                 1.1363,                0.62029,                  1.792,                0.98826,                0.98703,                0.98968,                0.87428,                 1.0964,                0.46482,                 1.7654,             0.00033008,             0.00033008,             0.00033008
                     73,                 1.1531,                0.62198,                 1.7956,                0.98801,                  0.989,                0.98864,                0.86998,                 1.1226,                0.46588,                 1.7737,             0.00031908,             0.00031908,             0.00031908
                     74,                 1.1454,                0.61764,                 1.7866,                0.98907,                0.97994,                0.98844,                  0.872,                 1.0917,                0.47352,                 1.7649,             0.00030808,             0.00030808,             0.00030808
                     75,                 1.1268,                0.59898,                 1.7651,                0.99189,                0.98204,                0.98942,                0.87378,                  1.106,                0.46669,                 1.7692,             0.00029708,             0.00029708,             0.00029708
                     76,                 1.1093,                0.62081,                 1.7743,                0.99284,                0.98262,                0.98898,                0.87776,                 1.0965,                0.46566,                 1.7657,             0.00028608,             0.00028608,             0.00028608
                     77,                 1.1283,                 0.6072,                 1.7783,                0.98859,                0.97699,                0.98862,                0.87229,                 1.1146,                0.47382,                 1.7689,             0.00027508,             0.00027508,             0.00027508
                     78,                 1.1039,                0.58654,                 1.7827,                0.99049,                0.97962,                 0.9901,                0.87935,                 1.0972,                 0.4635,                 1.7685,             0.00026408,             0.00026408,             0.00026408
                     79,                 1.1224,                 0.6118,                 1.7826,                0.98735,                0.98378,                0.99008,                0.87733,                  1.091,                0.47455,                 1.7611,             0.00025309,             0.00025309,             0.00025309
                     80,                 1.1107,                0.60943,                 1.7612,                0.98525,                0.98305,                0.98958,                 0.8766,                 1.0915,                0.47162,                 1.7609,             0.00024209,             0.00024209,             0.00024209
                     81,                 1.0954,                0.58994,                 1.7551,                0.98571,                0.98515,                 0.9902,                0.87425,                 1.1157,                0.47178,                 1.7672,             0.00023109,             0.00023109,             0.00023109
                     82,                 1.0836,                0.58959,                 1.7485,                0.98954,                0.98319,                0.98953,                0.87775,                 1.1056,                0.46446,                 1.7661,             0.00022009,             0.00022009,             0.00022009
                     83,                 1.0909,                0.60021,                 1.7603,                0.98874,                0.98584,                0.98936,                0.87771,                 1.0944,                0.46097,                 1.7622,             0.00020909,             0.00020909,             0.00020909
                     84,                 1.0824,                0.57182,                 1.7621,                0.99009,                0.98424,                0.98986,                0.88236,                 1.0684,                0.45094,                 1.7548,             0.00019809,             0.00019809,             0.00019809
                     85,                 1.1147,                0.59624,                 1.7892,                0.98889,                0.98233,                0.98967,                0.87632,                 1.0961,                0.45765,                 1.7635,             0.00018709,             0.00018709,             0.00018709
                     86,                 1.0897,                 0.5916,                 1.7728,                0.99264,                0.98598,                0.98982,                 0.8764,                 1.0914,                0.45849,                 1.7634,             0.00017609,             0.00017609,             0.00017609
                     87,                 1.0658,                0.56969,                 1.7564,                 0.9812,                0.98541,                0.98937,                0.88652,                 1.0591,                0.46004,                 1.7518,             0.00016509,             0.00016509,             0.00016509
                     88,                 1.0618,                0.56262,                 1.7536,                0.98913,                0.98401,                 0.9902,                0.87843,                 1.0789,                0.45594,                  1.757,              0.0001541,              0.0001541,              0.0001541
                     89,                  1.056,                0.56011,                 1.7466,                0.99311,                0.98282,                0.99026,                0.88077,                   1.07,                0.44965,                 1.7535,              0.0001431,              0.0001431,              0.0001431
                     90,                  1.075,                0.57347,                 1.7582,                0.98346,                0.98431,                0.98949,                0.88007,                 1.0721,                0.45565,                 1.7557,              0.0001321,              0.0001321,              0.0001321
